Raw value,Corresponding cumulative value,Corresponding Logistic value,Fractional area,Training omission,Test omission
1.47184E-4,31.756039801,0.415354409,0.221291866,0.1875,0.1
1.4765E-4,32.006666617,0.416121898,0.219597289,0.1875,0.1
1.48559E-4,32.258462229,0.417614925,0.217902711,0.1875,0.1
1.49405E-4,32.51168921,0.418996454,0.216208134,0.1875,0.1
1.50037E-4,32.751238119,0.42002409,0.214613238,0.1875,0.1
1.50939E-4,33.00709824,0.421484395,0.21291866,0.1875,0.1
1.52049E-4,33.264776722,0.423272978,0.211224083,0.1875,0.1
1.53437E-4,33.509261689,0.425492695,0.209629187,0.1875,0.1
1.54021E-4,33.755363264,0.426420324,0.20803429,0.1875,0.1
1.55501E-4,34.003086865,0.428761214,0.206439394,0.21875,0.1
1.56468E-4,34.252900174,0.430280265,0.204844498,0.21875,0.1
1.57132E-4,34.503841136,0.431318493,0.203249601,0.21875,0.1
1.5876E-4,34.75655891,0.43384985,0.201654705,0.21875,0.1
1.59384E-4,35.011246912,0.434812433,0.200059809,0.21875,0.1
1.60637E-4,35.251444854,0.436738571,0.198564593,0.21875,0.1
1.6178E-4,35.509373648,0.438483413,0.196969697,0.21875,0.1
1.63041E-4,35.753163904,0.440395557,0.195474482,0.25,0.1
1.64131E-4,36.015050076,0.442038158,0.193879585,0.25,0.1
1.65144E-4,36.261959209,0.443556418,0.19238437,0.25,0.1
1.66415E-4,36.510602435,0.445450618,0.190889155,0.25,0.1
1.67624E-4,36.761077909,0.44723927,0.189393939,0.25,0.2
1.6854E-4,37.013485759,0.448586246,0.187898724,0.25,0.2
1.69843E-4,37.250139151,0.450492505,0.18650319,0.25,0.2
1.70612E-4,37.505471774,0.45161116,0.185007974,0.25,0.2
1.71594E-4,37.762017209,0.453033114,0.183512759,0.25,0.2
1.72402E-4,38.002858143,0.454196896,0.182117225,0.25,0.2
1.73527E-4,38.262454381,0.455809021,0.18062201,0.25,0.2
1.74505E-4,38.506171423,0.457203447,0.179226475,0.25,0.2
1.75523E-4,38.751258485,0.458647246,0.177830941,0.25,0.3
1.7634E-4,39.01512906,0.459800573,0.176335726,0.25,0.3
1.77407E-4,39.262893448,0.461299373,0.174940191,0.25,0.3
1.78367E-4,39.512094578,0.462641052,0.173544657,0.25,0.3
1.79195E-4,39.762505236,0.46379234,0.172149123,0.25,0.3
1.80134E-4,40.014023377,0.465093031,0.170753589,0.25,0.3
1.80748E-4,40.266642235,0.465938908,0.169358054,0.25,0.3
1.81439E-4,40.502203213,0.466889538,0.168062201,0.25,0.3
1.83131E-4,40.757773237,0.469200397,0.166666667,0.25,0.3
1.8507E-4,41.015910423,0.471824058,0.165271132,0.25,0.3
1.86511E-4,41.257377413,0.473757271,0.163975279,0.25,0.3
1.8768E-4,41.500480576,0.475315438,0.162679426,0.25,0.3
1.89498E-4,41.764531186,0.477720628,0.161283892,0.25,0.3
1.90361E-4,42.01142447,0.478853624,0.159988038,0.25,0.3
1.91547E-4,42.259667108,0.480404562,0.158692185,0.25,0.3
1.93647E-4,42.510151795,0.483126458,0.157396332,0.25,0.3
1.95722E-4,42.763651425,0.485788255,0.156100478,0.25,0.3
1.97527E-4,43.019260017,0.488081558,0.154804625,0.25,0.3
1.99445E-4,43.257541291,0.490496461,0.153608453,0.25,0.3
2.0032E-4,43.517311597,0.491590238,0.1523126,0.25,0.3
2.01979E-4,43.75857779,0.49365149,0.151116427,0.25,0.3
2.03574E-4,44.001940802,0.495618188,0.149920255,0.25,0.4
2.05045E-4,44.267585417,0.49741836,0.148624402,0.25,0.4
